sample_index,timestamp,eeg
735,1782309409.9750025,143
736,1782309409.975005,804
737,1782309409.9750073,103
738,1782309409.975009,737
739,1782309409.975011,149
740,1782309409.9750128,799
741,1782309409.976537,110
742,1782309409.9765396,735
743,1782309409.976541,151
744,1782309409.976542,795
745,1782309409.9765434,112
746,1782309409.9765446,733
747,1782309409.9765456,155
748,1782309409.9765463,788
749,1782309409.9765472,111
750,1782309409.9765484,847
751,1782309410.7905731,159
752,1782309410.7905848,788
753,1782309410.790588,118
754,1782309410.7905908,844
755,1782309410.7905924,161
756,1782309410.7905946,783
757,1782309410.7905962,117
758,1782309410.790598,844
759,1782309410.7905998,160
760,1782309410.7906015,779
761,1782309410.7907104,123
762,1782309410.7907128,837
763,1782309410.790715,174
764,1782309410.7907164,766
765,1782309410.7907178,127
766,1782309410.7907197,830
767,1782309410.7907212,175
768,1782309410.790723,765
769,1782309410.7907257,131
770,1782309410.7907276,829
771,1782309410.7907398,179
772,1782309410.7907414,764
773,1782309410.7907434,132
774,1782309410.790745,821
775,1782309410.790747,97
776,1782309410.7907484,760
777,1782309410.7907503,136
778,1782309410.790752,821
779,1782309410.7907536,94
780,1782309410.7907548,760
781,1782309410.7930622,859
782,1782309410.7930741,834
783,1782309410.793077,820
784,1782309410.7930794,806
785,1782309410.7930815,795
786,1782309410.7930834,782
787,1782309410.793085,769
788,1782309410.793087,757
789,1782309410.793089,745
790,1782309410.7930908,736
791,1782309410.807699,972
792,1782309410.8077056,965
793,1782309410.8077085,952
794,1782309410.8077104,872
795,1782309410.8077126,141
796,1782309410.8077147,807
797,1782309410.8077178,97
798,1782309410.80772,860
799,1782309410.8077216,144
800,1782309410.8077238,799
801,1782309411.2003891,99
802,1782309411.2004032,859
803,1782309411.2004056,149
804,1782309411.200407,795
805,1782309411.200409,107
806,1782309411.2004101,849
807,1782309411.2004113,155
808,1782309411.2004125,787
809,1782309411.2004137,109
810,1782309411.200415,847
811,1782309411.2022653,155
812,1782309411.2022681,779
813,1782309411.2022696,109
814,1782309411.2022705,844
815,1782309411.2022715,71
816,1782309411.2022724,778
817,1782309411.2022734,118
818,1782309411.2022743,840
819,1782309411.202275,82
820,1782309411.202276,773
821,1782309411.2022834,140
822,1782309411.2022843,800
823,1782309411.202285,97
824,1782309411.202286,729
825,1782309411.202287,143
826,1782309411.202288,802
827,1782309411.2022886,99
828,1782309411.2022893,711
829,1782309411.202291,152
830,1782309411.202292,783
831,1782309411.814874,130
832,1782309411.8148863,676
833,1782309411.8148894,182
834,1782309411.814892,761
835,1782309411.814894,131
836,1782309411.8148956,671
837,1782309411.8148978,182
838,1782309411.8148994,753
839,1782309411.8149016,135
840,1782309411.8149033,833
841,1782309411.814925,184
842,1782309411.814927,750
843,1782309411.8149292,138
844,1782309411.8149307,828
845,1782309411.814932,193
846,1782309411.8149338,739
847,1782309411.8149354,144
848,1782309411.814937,816
849,1782309411.8149385,200
850,1782309411.8149402,736
851,1782309411.8149498,151
852,1782309411.8149514,814
853,1782309411.8149533,205
854,1782309411.814955,729
855,1782309411.8149564,154
856,1782309411.8149579,809
857,1782309411.8149595,214
858,1782309411.814961,725
859,1782309411.8149624,159
860,1782309411.8149643,803
861,1782309412.0309136,915
862,1782309412.0309312,899
863,1782309412.0309343,883
864,1782309412.0309367,867
865,1782309412.0309405,852
866,1782309412.0309427,838
867,1782309412.030945,823
868,1782309412.030947,805
869,1782309412.0309489,797
870,1782309412.0309505,717
871,1782309412.03103,969
872,1782309412.0310323,856
873,1782309412.0310347,177
874,1782309412.0310369,790
875,1782309412.0310392,115
876,1782309412.031041,878
877,1782309412.031043,140
878,1782309412.0310452,830
879,1782309412.0310469,96
880,1782309412.031049,882
881,1782309412.0310621,137
882,1782309412.0310643,831
883,1782309412.031066,95
884,1782309412.0310676,881
885,1782309412.0310698,56
886,1782309412.0310712,850
887,1782309412.031073,65
888,1782309412.0310745,909
889,1782309412.0310767,38
890,1782309412.031078,866
891,1782309412.224568,68
892,1782309412.2245858,906
893,1782309412.2246428,38
894,1782309412.2246459,861
895,1782309412.2246485,69
896,1782309412.2246509,903
897,1782309412.224653,40
898,1782309412.224655,854
899,1782309412.2246568,72
900,1782309412.224659,898
901,1782309412.2264552,43
902,1782309412.226458,842
903,1782309412.2264595,85
904,1782309412.2264605,877
905,1782309412.2264614,54
906,1782309412.2264624,816
907,1782309412.2264633,94
908,1782309412.2264643,870
909,1782309412.226465,61
910,1782309412.226466,916
911,1782309412.4294815,98
912,1782309412.4295003,863
913,1782309412.4295042,62
914,1782309412.4295065,912
915,1782309412.4295087,100
916,1782309412.4295106,865
917,1782309412.429513,63
918,1782309412.4295158,907
919,1782309412.4295177,98
920,1782309412.4295197,860
921,1782309412.4295423,61
922,1782309412.4295447,910
923,1782309412.429547,96
924,1782309412.429549,856
925,1782309412.4295514,64
926,1782309412.4295545,903
927,1782309412.4295564,108
928,1782309412.4295588,849
929,1782309412.4295611,69
930,1782309412.429563,900
931,1782309412.6339717,113
932,1782309412.6339817,847
933,1782309412.6339834,76
934,1782309412.6339855,889
935,1782309412.6339865,47
936,1782309412.633988,829
937,1782309412.633989,87
938,1782309412.6339903,879
939,1782309412.6339915,54
940,1782309412.6339924,820
941,1782309412.6340048,87
942,1782309412.634006,880
943,1782309412.634007,53
944,1782309412.6340082,821
945,1782309412.6340091,89
946,1782309412.6340103,875
947,1782309412.6340115,55
948,1782309412.6340125,821
949,1782309412.6340134,90
950,1782309412.6340141,875
951,1782309412.8597982,57
952,1782309412.8598115,814
953,1782309412.8598144,95
954,1782309412.859816,863
955,1782309412.859818,66
956,1782309412.8598194,802
957,1782309412.8598213,104
958,1782309412.859824,857
959,1782309412.8598258,72
960,1782309412.859828,909
961,1782309412.8598819,116
962,1782309412.859884,852
963,1782309412.8598855,76
964,1782309412.8598876,906
965,1782309412.8598895,113
966,1782309412.8598912,845
967,1782309412.8598928,82
968,1782309412.8598943,901
969,1782309412.8598962,123
970,1782309412.859899,841
971,1782309413.0470436,85
972,1782309413.0470538,898
973,1782309413.047056,128
974,1782309413.0470572,832
975,1782309413.0470583,87
976,1782309413.0470595,892
977,1782309413.0470605,131
978,1782309413.0470614,828
979,1782309413.0470629,89
980,1782309413.0470638,886
981,1782309413.047075,140
982,1782309413.0470765,825
983,1782309413.0470772,97
984,1782309413.0470781,883
985,1782309413.0470788,56
986,1782309413.047081,822
987,1782309413.0470822,99
988,1782309413.0470834,881
989,1782309413.0470843,59
990,1782309413.0470855,820
991,1782309413.088213,101
992,1782309413.088233,873
993,1782309413.088235,60
994,1782309413.088236,814
995,1782309413.088238,103
996,1782309413.0882392,870
997,1782309413.0882409,63
998,1782309413.0882425,808
999,1782309413.0882435,105
1000,1782309413.0882447,867
1001,1782309413.265457,69
1002,1782309413.2654765,803
1003,1782309413.2654803,110
1004,1782309413.2654827,864
1005,1782309413.265485,72
1006,1782309413.2654872,798
1007,1782309413.2654893,111
1008,1782309413.2654915,857
1009,1782309413.2654939,75
1010,1782309413.2654958,915
1011,1782309413.3146515,116
1012,1782309413.314669,854
1013,1782309413.3146722,78
1014,1782309413.3146756,911
1015,1782309413.314678,116
1016,1782309413.3146803,850
1017,1782309413.3146825,78
1018,1782309413.3146844,909
1019,1782309413.3146863,118
1020,1782309413.3146882,847
1021,1782309413.5570686,78
1022,1782309413.5570884,907
1023,1782309413.5570922,118
1024,1782309413.5570948,844
1025,1782309413.5570972,83
1026,1782309413.5570993,902
1027,1782309413.5571015,120
1028,1782309413.5571036,843
1029,1782309413.5571058,81
1030,1782309413.5571077,895
1031,1782309413.557132,125
1032,1782309413.5571349,837
1033,1782309413.557137,81
1034,1782309413.557139,898
1035,1782309413.5571413,46
1036,1782309413.5571432,838
1037,1782309413.5571458,85
1038,1782309413.557148,890
1039,1782309413.55715,48
1040,1782309413.5571518,832
1041,1782309413.5838287,88
1042,1782309413.5838447,889
1043,1782309413.5838463,50
1044,1782309413.583848,829
1045,1782309413.5838492,90
1046,1782309413.5838504,885
1047,1782309413.5838518,50
1048,1782309413.5838528,825
1049,1782309413.5838537,92
1050,1782309413.583855,883
1051,1782309413.6888337,55
1052,1782309413.6888509,821
1053,1782309413.6888556,95
1054,1782309413.6888597,879
1055,1782309413.688863,57
1056,1782309413.6888666,818
1057,1782309413.6888702,103
1058,1782309413.6888733,875
1059,1782309413.688876,64
1060,1782309413.688879,928
1061,1782309413.866034,103
1062,1782309413.866044,870
1063,1782309413.8660479,69
1064,1782309413.8660502,924
1065,1782309413.8660526,109
1066,1782309413.8660562,869
1067,1782309413.8660583,64
1068,1782309413.8660603,929
1069,1782309413.8660622,102
1070,1782309413.866064,872
1071,1782309413.9362128,59
1072,1782309413.9362361,924
1073,1782309413.936241,95
1074,1782309413.936245,872
1075,1782309413.936249,61
